Date Time,Open,High,Low,Close,Volume
2016-08-08 00:00:00,35.0,35.1,34.65,35.0, 4035
2016-08-09 00:00:00,34.85,35.05,34.8,35.0, 4717
2016-08-10 00:00:00,35.0,35.1,34.6,35.05, 5558
2016-08-11 00:00:00,34.65,35.0,34.6,35.0, 4677
2016-08-12 00:00:00,35.0,35.0,34.7,35.0, 4005
2016-08-15 00:00:00,34.95,35.0,34.75,35.0, 3064
2016-08-16 00:00:00,35.0,35.0,34.6,34.85, 5263
2016-08-17 00:00:00,34.8,34.8,34.15,34.2, 4515
2016-08-18 00:00:00,34.2,35.1,34.15,35.1, 6577
2016-08-19 00:00:00,36.0,38.0,36.0,36.75, 17469
2016-08-23 00:00:00,37.55,37.6,37.5,37.55, 7503
2016-08-24 00:00:00,37.55,37.95,37.2,37.55, 5179
2016-08-25 00:00:00,37.6,37.9,37.55,37.8, 7058
2016-08-26 00:00:00,37.8,37.8,37.45,37.6, 3816
2016-08-29 00:00:00,37.6,37.95,36.6,36.8, 7645
2016-08-30 00:00:00,37.05,37.05,36.1,36.25, 9740
2016-08-31 00:00:00,36.25,36.5,36.1,36.25, 8047
2016-09-01 00:00:00,36.1,36.25,35.05,35.25, 10896
2016-09-02 00:00:00,35.4,35.75,35.2,35.75, 5824
2016-09-05 00:00:00,36.1,36.5,36.1,36.4, 6582
2016-09-06 00:00:00,36.45,37.5,36.3,37.5, 8529
2016-09-07 00:00:00,37.5,37.7,37.15,37.5, 8424
2016-09-08 00:00:00,37.5,37.55,36.45,36.5, 7004
2016-09-09 00:00:00,36.05,36.2,35.6,35.75, 4264
2016-09-10 00:00:00,35.1,35.8,34.95,35.5, 3060
2016-09-12 00:00:00,35.05,35.1,34.6,34.7, 7307
2016-09-13 00:00:00,34.7,35.0,34.1,34.4, 7554
2016-09-14 00:00:00,34.2,35.05,33.95,33.95, 10425
2016-09-19 00:00:00,34.0,34.6,33.9,34.6, 6303
2016-09-20 00:00:00,34.5,34.55,34.15,34.5, 5388
2016-09-21 00:00:00,34.5,36.3,34.35,36.3, 12180
2016-09-22 00:00:00,36.6,36.6,35.5,35.8, 6640
2016-09-23 00:00:00,35.85,36.2,35.3,35.8, 4965
2016-09-26 00:00:00,35.8,36.45,35.7,36.05, 3138
2016-09-29 00:00:00,36.65,36.7,36.1,36.6, 6062
2016-09-30 00:00:00,36.25,36.3,35.6,35.65, 5922
2016-10-03 00:00:00,35.8,36.2,35.75,35.75, 2583
2016-10-04 00:00:00,36.2,36.2,35.65,35.95, 6601
2016-10-05 00:00:00,35.6,36.4,35.6,36.4, 4085
2016-10-06 00:00:00,36.4,36.65,36.05,36.6, 2620
2016-10-07 00:00:00,36.6,36.7,36.35,36.65, 3982
2016-10-11 00:00:00,36.85,36.85,35.8,36.05, 3849
2016-10-12 00:00:00,35.9,36.8,35.85,36.05, 3837
2016-10-13 00:00:00,36.05,36.05,35.0,35.0, 9129
2016-10-14 00:00:00,35.1,35.9,35.1,35.85, 4107
2016-10-17 00:00:00,36.05,36.1,35.15,36.05, 4096
2016-10-18 00:00:00,35.85,36.45,35.75,36.4, 5274
2016-10-19 00:00:00,36.4,37.35,36.4,37.35, 11059
2016-10-20 00:00:00,37.35,37.5,36.6,36.9, 6828
2016-10-21 00:00:00,37.0,37.1,36.7,36.7, 7005
2016-10-24 00:00:00,36.75,37.15,36.75,37.0, 4317
2016-10-25 00:00:00,37.5,37.8,37.2,37.45, 8663
2016-10-26 00:00:00,36.95,37.8,36.95,37.55, 4648
2016-10-27 00:00:00,37.35,37.55,37.05,37.55, 4632
2016-10-28 00:00:00,37.45,37.8,37.2,37.8, 3969
2016-10-31 00:00:00,37.45,37.95,36.9,37.85, 7108
2016-11-01 00:00:00,37.25,37.7,37.2,37.35, 3580
2016-11-02 00:00:00,37.0,37.05,36.2,36.25, 6463
2016-11-03 00:00:00,35.9,36.15,35.85,35.9, 4457
2016-11-04 00:00:00,35.85,36.05,35.55,36.05, 4805
2016-11-07 00:00:00,36.05,37.1,36.05,37.1, 6356
2016-11-08 00:00:00,37.3,37.65,37.05,37.5, 4432
2016-11-09 00:00:00,37.8,37.95,36.05,36.3, 7404
2016-11-10 00:00:00,36.9,38.2,36.9,38.15, 14716
2016-11-11 00:00:00,37.5,37.85,37.1,37.5, 10710
2016-11-14 00:00:00,37.4,37.75,36.85,37.05, 6571
2016-11-15 00:00:00,37.1,37.4,36.7,36.7, 5193
2016-11-16 00:00:00,37.2,37.25,36.55,36.55, 6260
2016-11-17 00:00:00,36.55,36.55,35.95,36.2, 9305
2016-11-18 00:00:00,36.1,36.15,35.6,35.85, 6817
2016-11-21 00:00:00,36.0,36.8,35.8,36.8, 7148
2016-11-22 00:00:00,36.7,37.2,36.6,37.1, 5895
2016-11-23 00:00:00,37.15,37.15,36.75,37.15, 4154
2016-11-24 00:00:00,37.0,37.05,36.55,36.75, 3137
2016-11-25 00:00:00,36.5,36.75,36.5,36.75, 2078
2016-11-28 00:00:00,36.75,37.1,36.55,37.0, 2437
2016-11-29 00:00:00,37.0,37.0,36.5,36.6, 3449
2016-11-30 00:00:00,36.9,37.05,36.55,36.85, 10767
2016-12-01 00:00:00,37.3,37.35,36.9,37.1, 4975
2016-12-02 00:00:00,36.7,37.25,36.7,37.1, 3989
2016-12-05 00:00:00,37.1,37.1,36.55,36.7, 3641
2016-12-06 00:00:00,37.25,37.3,36.7,36.95, 4700
2016-12-07 00:00:00,37.1,37.2,36.75,37.05, 5066
2016-12-08 00:00:00,37.1,38.0,37.05,38.0, 9236
2016-12-09 00:00:00,38.0,38.0,37.55,37.95, 6358
2016-12-12 00:00:00,38.0,38.3,37.6,37.9, 5848
2016-12-13 00:00:00,37.9,37.9,37.45,37.85, 4746
2016-12-14 00:00:00,37.85,37.85,37.6,37.7, 3844
2016-12-15 00:00:00,37.5,37.7,36.9,37.05, 5064
2016-12-16 00:00:00,37.05,37.2,36.55,36.65, 7870
2016-12-19 00:00:00,36.6,36.6,35.9,36.0, 5425
2016-12-20 00:00:00,36.2,36.3,36.05,36.25, 3417
2016-12-21 00:00:00,36.4,36.4,35.85,35.9, 4135
2016-12-22 00:00:00,35.9,35.9,35.0,35.0, 6913
2016-12-23 00:00:00,34.9,34.95,34.35,34.35, 6933
2016-12-26 00:00:00,34.4,34.85,34.0,34.25, 4683
2016-12-27 00:00:00,34.3,34.3,34.05,34.1, 2945
2016-12-28 00:00:00,34.2,34.5,34.15,34.5, 6385
2016-12-29 00:00:00,34.5,34.5,34.2,34.2, 5501
2016-12-30 00:00:00,34.5,35.15,34.3,35.15, 6113
2017-01-03 00:00:00,35.45,35.45,34.8,35.15, 2884
2017-01-04 00:00:00,35.2,35.3,35.0,35.25, 3292
2017-01-05 00:00:00,35.0,35.25,34.9,35.25, 3584
2017-01-06 00:00:00,35.3,35.3,34.9,35.25, 3535
2017-01-09 00:00:00,35.25,35.35,34.9,34.9, 4401
2017-01-10 00:00:00,34.8,35.15,34.65,34.95, 2859
2017-01-11 00:00:00,35.15,35.85,35.05,35.8, 5398
2017-01-12 00:00:00,35.85,36.3,35.7,36.3, 7958
2017-01-13 00:00:00,36.3,36.4,35.7,36.0, 3892
2017-01-16 00:00:00,35.8,36.05,35.6,35.8, 2142
2017-01-17 00:00:00,35.9,36.0,35.55,35.55, 2897
2017-01-18 00:00:00,35.45,35.55,35.3,35.45, 4303
2017-01-19 00:00:00,35.2,35.2,34.6,34.65, 6094
2017-01-20 00:00:00,34.8,35.1,34.75,34.95, 2350
2017-01-23 00:00:00,34.5,35.8,34.5,35.75, 9426
2017-01-24 00:00:00,35.75,36.0,35.3,35.4, 6784
2017-02-02 00:00:00,36.25,36.3,35.3,35.3, 12146
2017-02-03 00:00:00,35.25,36.0,35.2,36.0, 5401
2017-02-06 00:00:00,36.05,36.05,35.55,35.6, 3306
2017-02-07 00:00:00,35.4,35.5,35.2,35.25, 6880
2017-02-08 00:00:00,35.25,35.45,34.95,35.2, 6310
2017-02-09 00:00:00,35.0,36.3,35.0,36.3, 13647
2017-02-10 00:00:00,38.2,38.8,37.8,38.2, 39347
2017-02-13 00:00:00,38.2,38.2,37.6,38.0, 9208
2017-02-14 00:00:00,37.35,38.2,37.35,37.8, 9418
2017-02-15 00:00:00,37.8,38.25,37.7,38.05, 8821
2017-02-16 00:00:00,38.1,38.15,37.55,37.65, 5499
2017-02-17 00:00:00,37.65,37.65,37.1,37.5, 6879
2017-02-18 00:00:00,37.5,37.6,37.15,37.3, 2336
2017-02-20 00:00:00,37.3,37.35,36.5,36.6, 6772
2017-02-21 00:00:00,36.7,37.4,36.7,37.05, 9404
2017-02-22 00:00:00,37.45,38.4,37.25,38.2, 13602
2017-02-23 00:00:00,38.3,38.3,37.65,38.0, 5631
2017-02-24 00:00:00,38.0,38.1,37.65,37.65, 9863
2017-03-01 00:00:00,37.65,38.25,37.6,37.7, 8500
2017-03-02 00:00:00,38.0,38.9,38.0,38.15, 16400
2017-03-03 00:00:00,38.15,38.55,38.0,38.0, 7353
2017-03-06 00:00:00,37.9,38.1,37.75,37.8, 5191
2017-03-07 00:00:00,37.8,38.25,37.8,38.2, 2594
2017-03-08 00:00:00,38.2,38.45,38.15,38.15, 6345
2017-03-09 00:00:00,38.0,38.0,37.5,37.5, 7130
2017-03-10 00:00:00,37.3,37.3,36.85,37.0, 5332
2017-03-13 00:00:00,37.2,37.95,37.2,37.6, 5010
2017-03-14 00:00:00,37.6,37.9,37.45,37.8, 4838
2017-03-15 00:00:00,37.7,38.4,37.55,38.2, 6951
2017-03-16 00:00:00,38.2,38.5,37.9,38.0, 4470
2017-03-17 00:00:00,38.15,38.4,37.95,38.2, 9149
2017-03-20 00:00:00,38.0,38.2,37.9,38.15, 2705
2017-03-21 00:00:00,38.0,38.4,37.85,38.4, 6755
2017-03-22 00:00:00,37.95,38.0,37.75,37.9, 5055
2017-03-23 00:00:00,38.15,38.25,37.7,38.0, 3373
2017-03-24 00:00:00,38.0,38.1,37.8,38.0, 3684
2017-03-27 00:00:00,37.85,37.85,37.55,37.75, 5650
2017-03-28 00:00:00,37.8,37.8,36.9,37.15, 12327
2017-03-29 00:00:00,37.4,37.7,37.25,37.7, 3792
2017-03-30 00:00:00,37.65,37.65,36.85,36.85, 6229
2017-03-31 00:00:00,37.1,37.2,36.3,36.3, 8804
2017-04-05 00:00:00,36.4,37.2,36.4,37.05, 7377
2017-04-06 00:00:00,37.2,37.45,37.1,37.3, 5067
2017-04-07 00:00:00,36.95,37.25,36.5,37.15, 3782
2017-04-10 00:00:00,37.15,37.15,36.85,37.0, 972
2017-04-11 00:00:00,37.0,37.3,36.9,36.9, 3057
2017-04-12 00:00:00,37.25,37.5,36.7,36.85, 4319
2017-04-13 00:00:00,36.9,37.05,36.75,36.75, 2232
2017-04-14 00:00:00,36.6,36.75,36.4,36.5, 2228
2017-04-17 00:00:00,36.65,36.7,36.35,36.5, 2457
2017-04-18 00:00:00,36.6,36.65,36.25,36.45, 2833
2017-04-21 00:00:00,36.45,37.1,35.35,35.6, 15666
2017-04-24 00:00:00,35.8,37.3,35.75,36.25, 10223
2017-04-25 00:00:00,36.2,36.2,35.45,35.55, 11855
2017-04-26 00:00:00,35.65,35.85,35.5,35.65, 9693
2017-04-27 00:00:00,35.55,35.65,35.1,35.3, 8219
2017-04-28 00:00:00,35.1,35.1,35.1,35.1, 6
2017-05-02 00:00:00,35.4,35.4,35.15,35.2, 5248
2017-05-03 00:00:00,35.1,35.3,35.0,35.2, 3414
2017-05-04 00:00:00,35.2,35.25,35.0,35.25, 4874
2017-05-05 00:00:00,35.05,35.1,34.7,34.7, 5444
2017-05-08 00:00:00,34.65,34.65,34.65,34.65, 3
2017-05-09 00:00:00,34.5,34.8,34.45,34.65, 3875
2017-05-10 00:00:00,34.65,34.7,34.5,34.7, 2761
2017-05-11 00:00:00,34.8,35.0,34.15,34.55, 6685
2017-05-12 00:00:00,34.6,34.7,34.0,34.0, 6620
2017-05-15 00:00:00,34.05,34.65,34.05,34.6, 3056
2017-05-16 00:00:00,34.8,35.1,34.7,35.1, 8936
2017-05-17 00:00:00,34.3,34.3,34.3,34.3, 1
2017-05-18 00:00:00,34.55,34.8,34.35,34.75, 1683
2017-05-19 00:00:00,34.6,34.65,34.5,34.5, 2191
2017-05-22 00:00:00,34.85,34.85,34.4,34.6, 1702
2017-05-23 00:00:00,34.4,34.45,34.25,34.3, 2623
2017-05-24 00:00:00,34.3,34.5,34.15,34.5, 3219
2017-05-25 00:00:00,34.35,34.95,34.35,34.8, 6938
2017-05-26 00:00:00,34.7,34.85,34.55,34.65, 4339
2017-05-31 00:00:00,34.65,34.8,34.4,34.4, 7029
2017-06-01 00:00:00,34.4,34.6,34.35,34.35, 4065
2017-06-02 00:00:00,34.4,34.7,34.4,34.6, 3282
2017-06-03 00:00:00,34.7,34.8,34.65,34.7, 867
2017-06-05 00:00:00,34.8,34.85,34.5,34.55, 5047
2017-06-06 00:00:00,34.4,34.55,34.4,34.4, 4634
2017-06-07 00:00:00,34.4,34.45,34.1,34.35, 6619
2017-06-08 00:00:00,34.35,34.5,34.1,34.35, 3361
2017-06-09 00:00:00,34.35,34.6,34.3,34.6, 3495
2017-06-12 00:00:00,34.6,34.6,34.1,34.1, 3748
2017-06-13 00:00:00,34.4,34.45,34.2,34.2, 1892
2017-06-14 00:00:00,34.2,34.3,34.0,34.25, 2374
2017-06-15 00:00:00,34.25,34.25,33.5,34.0, 5050
2017-06-16 00:00:00,33.9,33.9,33.5,33.85, 8687
2017-06-19 00:00:00,33.65,33.9,33.6,33.9, 4624
2017-06-20 00:00:00,33.9,34.55,33.85,34.45, 4456
2017-06-21 00:00:00,34.5,34.8,34.2,34.8, 5769
2017-06-22 00:00:00,34.7,34.95,34.7,34.9, 3539
2017-06-23 00:00:00,34.85,34.95,34.7,34.9, 2646
2017-06-26 00:00:00,34.9,35.0,34.8,35.0, 4242
2017-06-27 00:00:00,35.0,35.2,34.75,34.75, 4442
2017-06-28 00:00:00,34.85,35.1,34.65,35.1, 3808
2017-06-29 00:00:00,35.15,35.15,34.9,35.1, 3924
2017-06-30 00:00:00,35.1,35.25,34.95,35.2, 3946
2017-07-03 00:00:00,35.25,35.5,35.2,35.45, 4342
2017-07-04 00:00:00,35.35,35.7,35.3,35.45, 6366
2017-07-05 00:00:00,35.45,35.6,35.3,35.6, 4113
2017-07-06 00:00:00,35.6,35.65,35.3,35.45, 2081
2017-07-07 00:00:00,35.35,35.4,35.05,35.2, 1955
2017-07-10 00:00:00,35.0,35.25,34.75,35.0, 3185
2017-07-11 00:00:00,34.85,35.45,34.85,35.15, 3111
2017-07-12 00:00:00,35.25,35.3,34.9,34.95, 4048
2017-07-13 00:00:00,35.25,35.55,35.05,35.1, 5343
2017-07-14 00:00:00,35.0,35.6,34.95,35.5, 5389
2017-07-17 00:00:00,35.4,35.85,35.35,35.8, 7361
2017-07-18 00:00:00,35.65,36.05,35.25,35.9, 6816
2017-07-19 00:00:00,35.8,36.2,35.7,36.15, 8237
2017-07-20 00:00:00,36.0,36.25,35.95,36.2, 6431
2017-07-21 00:00:00,36.2,36.25,36.05,36.1, 5262
2017-07-24 00:00:00,36.1,36.1,35.8,36.0, 7861
2017-07-25 00:00:00,34.65,34.8,34.5,34.55, 8286
2017-07-26 00:00:00,34.5,34.65,34.35,34.5, 6022
2017-07-27 00:00:00,34.5,35.3,34.5,35.2, 13981
2017-07-28 00:00:00,35.0,35.3,34.9,35.2, 11891
2017-07-31 00:00:00,35.05,35.25,34.95,35.0, 8089
2017-08-01 00:00:00,34.9,35.25,34.9,35.0, 6306
2017-08-02 00:00:00,35.05,35.2,34.95,35.1, 4703
2017-08-03 00:00:00,34.9,35.05,34.8,34.9, 5969
2017-08-04 00:00:00,34.85,35.1,34.8,34.8, 5205
2017-08-07 00:00:00,34.8,35.15,34.8,35.0, 7648
