Date,Open,High,Low,Close,Volume
1998-07-22 00:00:00,7950.0,7950.0,7820.0,7870.0, 360
1998-07-23 00:00:00,7830.0,7859.0,7802.0,7825.0, 190
1998-07-24 00:00:00,7750.0,7835.0,7740.0,7835.0, 340
1998-07-27 00:00:00,7830.0,7835.0,7780.0,7786.0, 150
1998-07-28 00:00:00,7809.0,7830.0,7742.0,7742.0, 264
1998-07-29 00:00:00,7710.0,7729.0,7657.0,7680.0, 323
1998-07-30 00:00:00,7665.0,7678.0,7620.0,7638.0, 0
1998-07-31 00:00:00,7660.0,7683.0,7600.0,7600.0, 257
1998-08-01 00:00:00,7557.0,7609.0,7550.0,7609.0, 378
1998-08-03 00:00:00,7640.0,7657.0,7542.0,7552.0, 293
1998-08-04 00:00:00,7555.0,7600.0,7548.0,7560.0, 302
1998-08-05 00:00:00,7510.0,7520.0,7470.0,7487.0, 455
1998-08-06 00:00:00,7515.0,7525.0,7451.0,7462.0, 270
1998-08-07 00:00:00,7480.0,7520.0,7452.0,7515.0, 453
1998-08-10 00:00:00,7500.0,7500.0,7350.0,7365.0, 345
1998-08-11 00:00:00,7316.0,7379.0,7316.0,7360.0, 386
1998-08-12 00:00:00,7335.0,7335.0,7281.0,7330.0, 384
1998-08-13 00:00:00,7360.0,7378.0,7291.0,7291.0, 496
1998-08-14 00:00:00,7275.0,7326.0,7140.0,7320.0, 528
1998-08-15 00:00:00,7261.0,7338.0,7261.0,7300.0, 361
1998-08-17 00:00:00,7285.0,7285.0,7219.0,7219.0, 308
1998-08-18 00:00:00,7250.0,7250.0,7165.0,7220.0, 574
1998-08-19 00:00:00,7269.0,7300.0,7260.0,7285.0, 543
1998-08-20 00:00:00,7300.0,7300.0,7253.0,7271.0, 322
1998-08-21 00:00:00,7255.0,7255.0,7220.0,7225.0, 301
1998-08-24 00:00:00,7172.0,7175.0,6955.0,6955.0, 919
1998-08-25 00:00:00,6938.0,6970.0,6844.0,6949.0, 780
1998-08-26 00:00:00,6990.0,7014.0,6790.0,6790.0, 839
1998-08-27 00:00:00,6681.0,6850.0,6651.0,6835.0, 1137
1998-08-28 00:00:00,6699.0,6820.0,6655.0,6695.0, 1285
1998-08-29 00:00:00,6700.0,6780.0,6700.0,6728.0, 698
1998-08-31 00:00:00,6750.0,6756.0,6566.0,6566.0, 922
1998-09-01 00:00:00,6352.0,6410.0,6216.0,6410.0, 1584
1998-09-02 00:00:00,6494.0,6495.0,6380.0,6430.0, 1417
1998-09-03 00:00:00,6400.0,6400.0,6200.0,6200.0, 1459
1998-09-04 00:00:00,6120.0,6400.0,6120.0,6399.0, 1789
1998-09-05 00:00:00,6420.0,6710.0,6420.0,6700.0, 2198
1998-09-07 00:00:00,6730.0,6769.0,6603.0,6719.0, 1632
1998-09-08 00:00:00,6719.0,6870.0,6700.0,6865.0, 1410
1998-09-09 00:00:00,6930.0,6931.0,6735.0,6770.0, 1901
1998-09-10 00:00:00,6720.0,6798.0,6702.0,6730.0, 1371
1998-09-11 00:00:00,6680.0,6769.0,6630.0,6769.0, 1804
1998-09-14 00:00:00,6789.0,6849.0,6769.0,6818.0, 871
1998-09-15 00:00:00,6840.0,6850.0,6780.0,6825.0, 612
1998-09-16 00:00:00,6815.0,6995.0,6815.0,6995.0, 732
