Date,Open,High,Low,Close,Volume
2014-01-02 12:10:00,8608.0,8610.0,8608.0,8610.0, 49
2014-01-02 12:11:00,8610.0,8611.0,8610.0,8610.0, 123
2014-01-02 12:12:00,8610.0,8611.0,8609.0,8609.0, 45
2014-01-02 12:13:00,8609.0,8610.0,8608.0,8608.0, 78
2014-01-02 12:14:00,8608.0,8609.0,8608.0,8609.0, 35
2014-01-02 12:15:00,8608.0,8609.0,8608.0,8609.0, 13
2014-01-02 12:16:00,8609.0,8609.0,8608.0,8609.0, 77
2014-01-02 12:17:00,8610.0,8612.0,8610.0,8612.0, 102
2014-01-02 12:18:00,8611.0,8613.0,8611.0,8612.0, 86
2014-01-02 12:19:00,8612.0,8612.0,8611.0,8611.0, 39
2014-01-02 12:20:00,8612.0,8613.0,8611.0,8611.0, 104
2014-01-02 12:21:00,8612.0,8612.0,8611.0,8611.0, 27
2014-01-02 12:22:00,8611.0,8614.0,8611.0,8612.0, 252
2014-01-02 12:23:00,8612.0,8614.0,8612.0,8612.0, 146
2014-01-02 12:24:00,8612.0,8613.0,8610.0,8611.0, 152
2014-01-02 12:25:00,8611.0,8612.0,8610.0,8610.0, 75
2014-01-02 12:26:00,8610.0,8611.0,8609.0,8611.0, 76
2014-01-02 12:27:00,8610.0,8612.0,8610.0,8611.0, 123
2014-01-02 12:28:00,8611.0,8612.0,8610.0,8611.0, 46
2014-01-02 12:29:00,8610.0,8611.0,8609.0,8610.0, 89
2014-01-02 12:30:00,8611.0,8612.0,8611.0,8612.0, 110
2014-01-02 12:31:00,8612.0,8612.0,8611.0,8611.0, 52
2014-01-02 12:32:00,8612.0,8612.0,8611.0,8611.0, 11
2014-01-02 12:33:00,8611.0,8612.0,8610.0,8612.0, 35
2014-01-02 12:34:00,8612.0,8612.0,8611.0,8611.0, 38
2014-01-02 12:35:00,8611.0,8612.0,8611.0,8611.0, 14
2014-01-02 12:36:00,8611.0,8612.0,8611.0,8611.0, 36
2014-01-02 12:37:00,8612.0,8612.0,8611.0,8611.0, 71
2014-01-02 12:38:00,8611.0,8612.0,8611.0,8611.0, 28
2014-01-02 12:39:00,8612.0,8612.0,8611.0,8611.0, 50
2014-01-02 12:40:00,8611.0,8611.0,8610.0,8610.0, 28
